time,ax,ay,az,atotal
4.720,0.02,-0.01,0.05,0.05
4.730,0.04,-0.01,0.04,0.06
4.740,0.03,-0.00,0.04,0.05
4.750,0.02,-0.00,0.04,0.05
4.760,0.02,-0.02,0.04,0.05
4.770,0.04,-0.02,0.04,0.06
4.780,0.04,-0.02,0.04,0.06
4.790,0.05,-0.01,0.02,0.06
4.800,0.04,-0.01,0.03,0.05
4.810,0.05,0.01,0.03,0.06
4.820,0.04,0.00,0.03,0.05
4.830,0.04,0.00,0.04,0.05
4.840,0.05,0.00,0.06,0.07
4.850,0.05,-0.00,0.06,0.08
4.860,0.05,-0.01,0.08,0.10
4.870,0.05,-0.01,0.08,0.09
4.880,0.06,0.00,0.09,0.11
4.890,0.05,0.01,0.09,0.10
4.900,0.05,0.02,0.08,0.10
4.910,0.06,0.04,0.06,0.10
4.920,0.05,0.03,0.05,0.08
4.930,0.04,0.01,0.05,0.07
4.940,0.04,-0.02,0.05,0.07
4.950,0.06,-0.03,0.06,0.09
4.959,0.06,-0.03,0.04,0.07
4.969,0.09,-0.01,0.05,0.10
4.979,0.10,0.02,0.04,0.11
4.989,0.10,0.03,0.03,0.11
4.999,0.11,0.00,0.05,0.12
5.009,0.11,-0.02,0.05,0.12
5.019,0.12,-0.04,0.04,0.14
5.029,0.12,-0.04,0.06,0.14
5.039,0.11,-0.00,0.06,0.12
5.049,0.08,0.02,0.04,0.10
5.059,0.05,0.02,0.06,0.08
5.069,0.03,0.02,0.06,0.07
5.079,0.02,0.01,0.06,0.06
5.089,-0.01,-0.01,0.06,0.07
5.099,-0.02,-0.01,0.05,0.06
5.109,0.00,0.01,0.06,0.06
5.119,0.02,0.00,0.06,0.06
5.129,0.05,0.01,0.06,0.08
5.139,0.08,0.02,0.05,0.10
5.149,0.10,0.02,0.02,0.10
5.159,0.11,0.01,0.03,0.12
5.169,0.13,0.01,0.03,0.13
5.179,0.13,0.02,0.04,0.13
5.189,0.14,0.02,0.03,0.15
5.199,0.12,0.00,0.06,0.14
5.209,0.09,0.00,0.06,0.11
5.219,0.07,-0.01,0.04,0.09
5.229,0.06,-0.00,0.02,0.07
5.239,0.05,0.01,0.03,0.06
5.249,0.03,0.01,0.02,0.04
5.259,0.03,0.01,0.01,0.03
5.269,0.03,0.00,0.00,0.03
5.279,0.04,-0.00,-0.02,0.04
5.289,0.06,-0.01,-0.02,0.06
5.299,0.06,-0.01,-0.04,0.07
5.309,0.08,-0.01,-0.06,0.10
5.319,0.08,-0.02,-0.05,0.10
5.329,0.08,-0.04,-0.04,0.09
5.339,0.08,-0.04,-0.01,0.09
5.349,0.05,-0.02,-0.01,0.06
5.359,0.05,-0.02,0.02,0.05
5.369,0.03,-0.03,0.02,0.05
5.379,0.02,-0.03,0.03,0.05
5.389,0.03,-0.02,0.04,0.06
5.399,0.02,0.00,0.04,0.05
5.409,0.01,0.03,0.05,0.06
5.419,0.03,0.04,0.04,0.06
5.428,0.02,0.05,0.06,0.08
5.439,-0.00,0.06,0.07,0.09
5.448,0.02,0.03,0.07,0.08
5.459,0.01,0.00,0.09,0.09
5.469,0.02,-0.02,0.08,0.09
5.478,0.02,-0.02,0.08,0.09
5.488,0.03,-0.01,0.09,0.09
5.498,0.02,0.00,0.08,0.08
5.508,0.03,-0.01,0.07,0.07
5.518,0.05,0.01,0.06,0.08
5.528,0.05,0.02,0.05,0.07
5.538,0.04,0.03,0.03,0.06
5.548,0.07,0.03,0.00,0.07
5.558,0.07,0.02,-0.03,0.08
5.568,0.06,0.01,-0.03,0.07
5.578,0.06,-0.04,-0.02,0.07
5.588,0.06,-0.05,-0.03,0.08
5.598,0.07,-0.05,-0.03,0.09
5.608,0.07,-0.01,-0.03,0.08
5.618,0.06,0.02,-0.02,0.06
5.628,0.06,0.02,-0.01,0.06
5.638,0.06,0.02,0.01,0.06
5.648,0.05,-0.00,0.03,0.06
5.658,0.05,-0.02,0.03,0.06
5.668,0.03,-0.03,0.03,0.05
5.678,0.03,-0.01,0.02,0.04
5.688,0.05,0.02,0.02,0.06
5.698,0.04,0.03,0.02,0.05
5.708,0.04,0.03,0.02,0.05
5.718,0.03,0.01,0.01,0.03
5.728,0.03,-0.03,0.02,0.05
5.738,0.03,-0.05,0.02,0.06
5.748,0.03,-0.04,0.02,0.06
5.758,0.01,-0.02,0.02,0.03
5.768,-0.00,0.00,0.04,0.04
5.778,0.00,0.03,0.04,0.05
5.788,0.01,0.03,0.05,0.06
5.798,-0.01,0.01,0.06,0.06
5.808,-0.00,0.02,0.08,0.08
5.818,0.00,0.02,0.07,0.08
5.828,0.01,0.04,0.07,0.08
5.838,0.03,0.05,0.07,0.09
5.848,0.04,0.05,0.07,0.10
5.858,0.07,0.03,0.06,0.10
5.868,0.09,0.03,0.06,0.11
5.878,0.11,0.03,0.04,0.12
5.887,0.13,0.02,0.01,0.13
5.898,0.13,0.02,0.00,0.13
5.908,0.13,-0.00,-0.02,0.13
5.918,0.12,-0.03,-0.03,0.13
5.928,0.09,-0.06,-0.04,0.12
