time,ax,ay,az,atotal
5.683,0.08,0.02,-0.13,0.15
5.693,0.03,0.01,-0.15,0.15
5.703,0.00,-0.01,-0.08,0.08
5.713,0.05,-0.02,-0.04,0.07
5.723,0.07,-0.05,0.00,0.09
5.733,0.07,-0.03,0.04,0.08
5.743,0.03,-0.01,0.01,0.03
5.753,0.02,-0.01,-0.02,0.03
5.763,0.03,0.02,-0.01,0.04
5.773,0.02,-0.00,-0.08,0.08
5.783,0.01,-0.01,-0.06,0.07
5.793,0.00,-0.00,0.01,0.01
5.803,0.01,0.02,0.06,0.07
5.813,-0.02,0.01,0.04,0.04
5.823,-0.00,-0.01,0.04,0.04
5.833,0.04,0.00,0.06,0.08
5.843,0.04,0.02,0.05,0.07
5.853,0.00,0.02,-0.02,0.02
5.863,0.03,0.00,-0.10,0.10
5.873,0.05,-0.01,-0.06,0.08
5.883,0.05,-0.00,0.00,0.05
5.893,0.02,-0.00,0.00,0.02
5.903,0.01,0.01,-0.06,0.06
5.913,0.09,-0.02,-0.01,0.09
5.923,-0.02,-0.02,-0.06,0.07
5.933,-0.01,0.01,-0.04,0.04
5.943,0.00,0.04,-0.06,0.07
5.953,0.04,0.01,-0.06,0.07
5.963,0.05,-0.01,-0.01,0.05
5.973,0.05,0.00,0.03,0.05
5.983,0.04,-0.01,0.03,0.05
5.992,0.03,-0.01,-0.02,0.04
6.003,0.03,-0.00,-0.04,0.05
6.013,0.05,-0.02,-0.02,0.05
6.022,0.07,-0.02,-0.01,0.07
6.032,0.02,-0.01,-0.00,0.03
6.042,0.00,0.02,-0.02,0.03
6.053,0.01,0.01,-0.00,0.01
6.063,0.01,0.03,0.02,0.04
6.072,-0.01,0.04,0.02,0.04
6.082,-0.02,0.01,-0.04,0.04
6.092,0.07,-0.04,-0.06,0.10
6.102,0.07,-0.05,0.01,0.08
6.112,0.02,0.02,0.01,0.03
6.122,-0.02,0.01,-0.00,0.03
6.132,0.01,0.00,-0.01,0.02
6.142,0.04,0.03,-0.02,0.05
6.152,0.01,0.03,-0.03,0.04
6.162,0.04,-0.03,-0.05,0.07
6.172,0.11,-0.06,-0.00,0.13
6.182,0.12,-0.07,0.05,0.15
6.192,0.04,-0.05,0.02,0.07
6.202,0.01,-0.03,-0.02,0.04
6.212,0.08,-0.01,-0.01,0.08
6.222,-0.14,0.00,-0.19,0.23
6.232,-0.10,0.08,-0.22,0.25
6.242,0.01,0.09,-0.16,0.18
6.252,0.11,0.03,-0.00,0.11
6.262,0.12,0.02,0.07,0.14
6.272,0.09,0.01,0.10,0.14
6.282,0.03,0.00,0.12,0.13
6.292,0.00,0.02,0.13,0.13
6.302,-0.00,0.02,0.13,0.14
6.312,-0.02,0.01,0.11,0.11
6.322,-0.01,-0.02,0.06,0.06
6.332,0.05,-0.02,0.01,0.05
6.342,0.07,-0.04,-0.06,0.10
6.352,0.06,-0.04,-0.08,0.11
6.362,0.05,-0.03,-0.11,0.13
6.372,0.14,-0.03,-0.05,0.15
6.382,-0.03,-0.02,-0.14,0.14
6.392,-0.09,0.01,-0.19,0.21
6.402,-0.04,0.06,-0.15,0.17
6.412,0.00,0.04,-0.08,0.09
6.422,0.05,0.03,-0.02,0.06
6.432,0.03,0.03,0.03,0.05
6.442,0.04,0.04,0.06,0.09
6.452,0.03,0.03,0.04,0.06
6.462,0.06,0.00,0.02,0.06
6.472,0.04,-0.01,0.05,0.06
6.482,0.01,-0.01,0.08,0.08
6.492,0.02,-0.02,0.10,0.10
6.501,0.07,-0.06,0.05,0.10
6.511,0.08,-0.07,0.01,0.11
6.522,0.04,-0.05,0.00,0.07
