time,wx,wy,wz
11.770,-0.07,0.18,0.09
11.786,-0.06,0.17,0.10
11.803,-0.05,0.15,0.11
11.820,-0.06,0.10,0.11
11.836,-0.20,-0.09,0.10
11.870,-0.32,-0.20,0.15
11.886,-0.54,-0.29,0.23
11.903,-0.63,-0.25,0.25
11.936,-0.83,-0.04,0.24
11.953,-0.95,0.10,0.23
11.970,-1.15,0.17,0.19
11.986,-1.39,0.37,0.15
12.003,-1.68,0.52,0.05
12.020,-1.82,0.67,-0.02
12.036,-1.72,0.73,-0.10
12.053,-1.54,1.21,-0.25
12.070,-1.30,2.04,-0.48
12.086,-0.98,2.50,-0.72
12.103,-0.86,2.20,-0.86
12.120,-1.08,1.56,-0.81
12.136,-1.11,0.56,-0.67
12.153,-0.95,-0.75,-0.51
12.170,-0.75,-1.69,-0.36
12.186,-0.60,-1.76,-0.38
12.203,-0.50,-1.06,-0.46
12.220,-0.46,-0.26,-0.58
12.236,-0.50,0.22,-0.70
12.252,-0.49,0.22,-0.69
12.270,-0.39,-0.10,-0.60
12.286,-0.25,-0.38,-0.55
12.303,-0.14,-0.46,-0.58
12.319,-0.13,-0.39,-0.60
12.336,-0.35,-0.49,-0.89
12.353,-0.18,-0.08,-0.68
12.370,0.01,0.22,-0.73
12.386,0.06,0.24,-0.75
12.403,-0.07,-0.20,-0.55
12.420,-0.14,-0.99,-0.05
12.453,-0.04,-1.12,0.01
12.470,0.11,-1.55,0.28
12.486,0.15,-1.75,0.33
12.520,0.23,-0.90,0.21
12.536,0.27,-0.20,0.20
12.553,0.45,0.21,0.20
12.570,0.65,0.31,0.18
12.586,0.69,0.37,0.10
12.603,0.67,0.61,0.09
12.620,0.76,1.24,0.26
12.636,0.80,1.59,0.53
12.653,0.24,1.46,0.48
12.670,0.09,1.41,0.13
12.686,0.54,1.32,0.17
12.703,1.02,1.11,0.36
12.720,1.43,0.85,0.43
12.736,1.59,0.64,0.45
12.753,1.54,0.53,0.58
12.770,1.38,0.26,0.74
12.786,1.20,-0.16,0.67
12.803,1.06,-0.70,0.43
12.819,0.56,-0.21,-0.17
12.836,0.03,1.36,-0.64
12.853,0.78,2.02,-0.53
12.869,1.71,1.16,-0.20
12.886,1.84,-0.29,0.04
12.903,1.53,-1.41,0.21
12.919,1.25,-1.84,0.24
12.936,1.13,-2.01,0.00
12.953,1.05,-1.90,-0.17
12.970,0.98,-1.52,-0.28
12.986,0.85,-0.84,-0.26
13.003,0.74,-0.12,-0.22
13.020,0.72,0.50,-0.19
13.036,0.78,1.03,-0.13
13.053,0.83,1.42,-0.11
13.069,0.86,1.83,-0.10
13.103,0.95,1.86,-0.06
13.120,1.15,1.40,0.07
13.136,0.49,0.71,0.03
13.170,-0.37,0.02,-0.41
13.186,-0.40,0.31,-0.51
13.202,-0.26,0.89,-0.37
13.220,-0.26,1.01,-0.17
13.236,-0.67,0.31,-0.06
13.252,-1.31,-0.79,-0.18
13.270,-1.84,-1.47,-0.37
13.286,-2.43,-1.61,-0.45
13.303,-2.87,-1.60,-0.51
13.319,-3.00,-1.66,-0.64
13.336,-2.66,-1.56,-0.77
13.353,-2.11,-1.30,-0.67
13.369,-1.66,-0.64,-0.34
13.386,-1.34,0.43,0.29
13.403,-1.82,1.06,0.66
13.419,-3.53,0.51,0.52
13.436,-4.18,-0.01,0.48
13.453,-3.73,-0.54,0.50
13.469,-2.79,-0.62,0.43
13.486,-1.89,-0.37,0.20
13.503,-1.32,-0.23,-0.31
13.519,-0.87,0.01,-0.84
13.536,-0.57,-0.02,-1.20
13.553,-0.37,-0.55,-1.25
13.569,-0.19,-1.18,-1.06
13.586,0.00,-1.52,-0.80
13.603,0.10,-1.42,-0.45
13.619,0.15,-0.99,-0.11
13.636,0.22,-0.58,0.28
13.653,0.06,-0.68,0.80
13.686,-0.34,-1.26,0.89
13.702,0.78,-1.83,0.14
13.719,1.26,-0.43,-0.33
13.753,1.31,0.04,-0.94
13.770,1.48,0.14,-1.19
13.786,1.92,0.49,-1.17
13.803,2.26,0.74,-0.81
13.820,2.36,1.13,-0.04
13.836,1.14,1.87,0.96
13.853,-0.45,2.90,1.57
13.870,-0.30,3.15,1.44
13.886,0.22,2.52,0.96
13.903,0.93,1.72,0.55
13.919,1.61,0.84,0.33
13.936,2.01,0.19,0.39
13.953,2.18,-0.56,0.63
13.970,1.89,-0.96,0.78
13.986,1.27,-1.14,0.84
