time,ax,ay,az,atotal
4.051,0.28,-0.07,0.11,0.31
4.061,0.24,-0.01,0.14,0.28
4.071,0.20,0.04,0.16,0.26
4.081,0.17,0.07,0.14,0.23
4.091,0.12,0.07,0.11,0.18
4.101,0.11,0.06,0.03,0.13
4.111,0.09,0.04,-0.05,0.11
4.121,0.07,0.01,-0.15,0.17
4.131,0.08,-0.00,-0.22,0.23
4.141,0.11,-0.01,-0.29,0.31
4.151,0.14,-0.01,-0.34,0.36
4.161,0.17,-0.02,-0.35,0.39
4.171,0.18,-0.02,-0.36,0.41
4.181,0.19,-0.04,-0.34,0.39
4.191,0.21,-0.07,-0.30,0.37
4.201,0.21,-0.04,-0.25,0.33
4.211,0.21,0.00,-0.18,0.28
4.221,0.22,0.04,-0.10,0.24
4.231,0.19,0.04,-0.01,0.20
4.241,0.17,-0.01,0.06,0.18
4.251,0.16,-0.07,0.07,0.19
4.261,0.17,-0.09,0.09,0.21
4.271,0.16,-0.09,0.07,0.19
4.280,0.15,-0.09,0.02,0.18
4.290,0.15,-0.09,-0.03,0.18
4.301,0.15,-0.07,-0.07,0.18
4.310,0.15,-0.03,-0.09,0.18
4.321,0.16,0.04,-0.11,0.20
4.330,0.19,0.08,-0.13,0.24
4.340,0.16,0.10,-0.12,0.23
4.350,0.11,0.06,-0.10,0.16
4.360,0.05,-0.03,-0.06,0.08
4.370,0.02,-0.11,-0.02,0.11
4.380,-0.01,-0.15,0.01,0.15
4.390,-0.00,-0.11,0.05,0.12
4.400,-0.00,-0.08,0.08,0.11
4.410,0.03,-0.04,0.08,0.10
4.420,0.07,-0.03,0.08,0.11
4.430,0.09,-0.04,0.06,0.11
4.440,0.10,-0.03,0.05,0.11
4.450,0.12,-0.00,0.02,0.13
4.460,0.13,0.00,0.01,0.13
4.470,0.11,-0.00,0.01,0.11
4.480,0.10,0.01,0.02,0.10
4.490,0.09,0.03,0.02,0.10
4.500,0.11,0.04,-0.01,0.12
4.510,0.13,0.07,-0.04,0.16
4.520,0.15,0.09,-0.07,0.19
4.530,0.17,0.08,-0.10,0.22
4.540,0.18,0.05,-0.13,0.23
4.550,0.18,0.02,-0.14,0.23
4.560,0.17,0.00,-0.14,0.22
4.570,0.15,0.01,-0.13,0.20
4.580,0.14,0.03,-0.11,0.18
4.590,0.12,0.06,-0.08,0.15
4.600,0.09,0.06,-0.06,0.12
4.610,0.09,0.05,-0.05,0.11
4.620,0.07,0.02,-0.02,0.08
4.630,0.06,0.00,0.01,0.06
4.640,0.05,-0.02,0.01,0.06
4.650,0.05,-0.03,0.03,0.06
4.660,0.05,-0.08,0.03,0.11
4.670,0.07,-0.10,0.04,0.13
4.680,0.08,-0.09,0.05,0.13
4.690,0.12,-0.05,0.04,0.14
4.700,0.16,-0.01,0.03,0.16
4.710,0.19,0.00,0.03,0.19
4.720,0.20,-0.00,0.02,0.20
4.729,0.21,-0.02,0.01,0.21
4.740,0.19,-0.03,-0.00,0.19
4.750,0.17,-0.03,-0.03,0.18
4.759,0.14,-0.03,-0.05,0.15
4.769,0.11,-0.07,-0.07,0.14
4.780,0.09,-0.11,-0.10,0.17
4.789,0.06,-0.07,-0.10,0.14
4.799,0.07,0.02,-0.09,0.12
4.809,0.09,0.08,-0.08,0.15
4.819,0.08,0.09,-0.07,0.14
4.829,0.08,0.05,-0.04,0.10
4.839,0.08,-0.02,-0.02,0.08
4.849,0.06,-0.06,0.00,0.08
4.859,0.08,-0.07,0.02,0.11
4.869,0.09,-0.08,0.02,0.12
4.879,0.10,-0.07,0.03,0.13
4.889,0.11,-0.02,0.01,0.11
4.899,0.14,-0.01,-0.01,0.14
4.909,0.18,0.02,-0.03,0.18
4.919,0.21,0.05,-0.06,0.22
4.929,0.22,0.04,-0.08,0.24
4.939,0.22,0.03,-0.09,0.24
4.949,0.22,0.03,-0.09,0.24
4.959,0.21,0.01,-0.10,0.24
4.969,0.19,-0.01,-0.09,0.21
4.979,0.17,0.00,-0.10,0.20
4.989,0.15,0.00,-0.08,0.17
4.999,0.11,-0.01,-0.08,0.14
5.009,0.09,0.01,-0.08,0.12
5.019,0.07,0.02,-0.06,0.10
5.029,0.07,0.02,-0.05,0.09
5.039,0.06,0.02,-0.04,0.07
5.049,0.07,0.01,-0.03,0.07
5.059,0.06,-0.01,-0.04,0.07
5.069,0.08,-0.03,-0.06,0.11
5.079,0.09,-0.06,-0.06,0.12
5.089,0.11,-0.04,-0.07,0.14
5.099,0.13,0.00,-0.06,0.14
5.109,0.15,-0.00,-0.06,0.16
5.119,0.16,-0.00,-0.05,0.16
5.129,0.18,-0.02,-0.04,0.18
5.139,0.18,-0.02,-0.03,0.19
5.149,0.19,-0.01,-0.02,0.19
5.159,0.20,-0.01,-0.01,0.20
5.169,0.22,-0.01,0.01,0.22
5.179,0.23,-0.03,0.00,0.23
5.189,0.24,-0.02,0.02,0.24
5.198,0.24,-0.03,0.02,0.24
5.208,0.20,-0.03,0.02,0.20
5.218,0.19,-0.04,0.03,0.20
5.228,0.17,-0.04,0.03,0.18
5.239,0.15,-0.03,0.03,0.15
5.248,0.12,-0.01,0.03,0.12
5.258,0.10,-0.02,0.01,0.10
5.268,0.07,-0.02,-0.01,0.08
5.278,0.07,-0.03,-0.03,0.08
5.288,0.07,-0.00,-0.05,0.09
5.298,0.10,0.02,-0.03,0.11
5.308,0.11,0.03,-0.05,0.12
5.318,0.13,0.01,-0.05,0.14
5.328,0.15,-0.01,-0.04,0.16
5.338,0.17,-0.03,-0.05,0.18
5.348,0.18,-0.02,-0.04,0.19
5.358,0.19,-0.01,-0.03,0.19
5.368,0.19,-0.02,-0.02,0.19
5.378,0.19,-0.01,-0.02,0.19
5.388,0.19,-0.01,-0.01,0.19
5.398,0.16,-0.01,0.00,0.16
5.408,0.14,-0.03,0.01,0.15
5.418,0.13,-0.03,0.00,0.13
5.428,0.11,-0.03,0.01,0.11
5.438,0.13,-0.02,-0.00,0.13
5.448,0.14,-0.01,-0.01,0.14
5.458,0.14,-0.00,-0.01,0.14
5.468,0.15,-0.02,-0.01,0.15
5.478,0.14,-0.04,-0.01,0.15
5.488,0.14,-0.05,-0.00,0.15
5.498,0.14,-0.07,0.01,0.16
5.508,0.13,-0.07,0.03,0.15
5.518,0.15,-0.04,0.00,0.15
5.528,0.13,-0.04,0.01,0.14
5.538,0.12,-0.05,0.00,0.13
5.548,0.11,-0.07,-0.01,0.14
5.558,0.13,-0.10,-0.01,0.16
5.568,0.12,-0.10,-0.03,0.16
5.578,0.13,-0.09,-0.02,0.16
5.588,0.16,-0.10,-0.04,0.19
5.598,0.17,-0.08,-0.05,0.19
5.608,0.19,-0.07,-0.07,0.21
5.618,0.22,-0.04,-0.03,0.23
5.628,0.25,-0.00,-0.02,0.25
5.638,0.27,0.01,-0.01,0.27
5.647,0.29,0.02,-0.03,0.29
5.657,0.27,0.01,-0.02,0.27
5.667,0.23,0.03,-0.02,0.24
5.677,0.20,0.05,-0.03,0.21
5.687,0.12,0.08,-0.01,0.15
5.697,0.05,0.08,-0.00,0.09
5.707,-0.03,0.09,0.02,0.09
5.717,-0.10,0.09,0.03,0.14
5.727,-0.17,0.08,0.03,0.19
5.737,-0.13,0.07,0.03,0.15
5.747,-0.11,0.06,0.04,0.13
5.757,-0.14,0.01,0.01,0.14
5.767,-0.10,-0.01,-0.02,0.11
5.777,-0.00,0.01,-0.02,0.03
5.787,0.09,-0.00,-0.03,0.09
5.797,0.17,0.01,-0.02,0.17
5.807,0.20,-0.01,-0.01,0.20
5.817,0.21,-0.00,-0.00,0.21
5.827,0.22,-0.02,0.01,0.22
5.837,0.22,-0.02,0.01,0.22
5.847,0.20,-0.02,0.02,0.21
5.857,0.19,-0.03,0.03,0.20
5.867,0.17,-0.04,0.02,0.18
5.877,0.17,-0.03,0.00,0.17
5.887,0.18,-0.02,-0.02,0.18
5.897,0.17,-0.02,-0.03,0.18
5.907,0.16,0.00,-0.06,0.17
5.917,0.17,0.02,-0.04,0.17
5.927,0.15,0.03,-0.03,0.15
5.937,0.14,0.01,-0.02,0.15
5.947,0.14,0.02,-0.01,0.14
5.957,0.12,-0.02,0.02,0.12
5.967,0.10,-0.05,0.03,0.11
5.977,0.07,-0.06,0.04,0.10
5.987,0.07,-0.03,0.05,0.09
5.997,0.06,0.00,0.05,0.08
6.007,0.06,0.02,0.03,0.07
6.017,0.06,0.02,0.00,0.06
6.027,0.06,0.01,0.00,0.06
6.037,0.08,0.01,-0.01,0.08
6.046,0.08,-0.01,-0.03,0.09
6.057,0.08,-0.02,-0.05,0.10
6.067,0.11,-0.01,-0.04,0.12
6.077,0.11,0.02,-0.04,0.12
