time,wx,wy,wz
3.802,0.00,0.00,-0.00
3.812,0.00,0.00,0.00
3.822,-0.00,0.00,-0.00
3.832,-0.00,0.00,-0.00
3.842,-0.00,0.00,-0.00
3.852,-0.00,0.00,-0.00
3.862,-0.00,-0.00,-0.00
3.872,-0.00,0.00,-0.00
3.882,-0.01,0.00,0.00
3.892,-0.01,0.00,-0.00
3.902,-0.01,0.00,-0.00
3.912,-0.01,0.00,-0.00
3.922,-0.01,0.00,0.00
3.932,-0.01,0.00,-0.00
3.942,-0.01,0.00,-0.00
3.952,-0.01,0.00,-0.00
3.962,-0.01,0.00,-0.00
3.972,-0.00,0.00,-0.00
3.982,0.00,0.00,0.00
3.988,0.00,0.00,-0.00
3.998,-0.00,0.00,-0.01
4.008,-0.00,0.00,-0.01
4.018,0.00,0.01,-0.01
4.028,0.00,0.00,-0.01
4.038,0.00,0.00,-0.01
4.048,0.00,-0.00,-0.01
4.058,0.00,0.00,-0.00
4.068,0.00,0.00,-0.00
4.078,0.01,-0.00,-0.00
4.088,0.00,0.00,0.00
4.098,-0.00,0.00,0.00
4.108,-0.00,0.00,0.00
4.118,-0.01,0.00,0.01
4.128,-0.01,0.00,0.01
4.138,-0.01,0.00,0.00
4.148,-0.01,0.00,0.00
4.158,-0.01,0.00,-0.00
4.168,-0.01,0.01,-0.00
4.178,-0.01,0.01,-0.00
4.188,-0.01,0.01,-0.00
4.198,-0.01,0.01,-0.00
4.208,-0.00,0.01,-0.00
4.218,0.00,0.00,-0.00
4.228,0.01,0.00,-0.00
4.238,0.00,-0.00,-0.00
4.248,0.00,-0.01,-0.00
4.258,0.00,-0.00,-0.00
4.268,0.00,-0.00,-0.00
4.277,0.00,-0.00,-0.00
4.287,0.00,-0.00,-0.00
4.297,-0.01,0.00,-0.00
4.308,-0.01,0.00,0.00
4.322,-0.01,0.01,0.00
4.333,-0.02,0.01,-0.00
4.342,-0.02,0.01,0.00
4.352,-0.02,0.01,-0.00
4.362,-0.02,0.01,-0.00
4.372,-0.01,0.00,-0.00
4.382,-0.00,0.01,-0.01
4.392,0.01,-0.00,-0.01
4.402,0.01,0.01,-0.01
4.412,0.01,0.00,-0.01
4.422,0.01,0.01,-0.01
4.432,0.01,0.01,-0.01
4.442,0.01,0.00,-0.01
4.452,0.01,0.01,-0.01
4.462,0.01,0.00,-0.01
4.472,0.01,0.00,-0.01
4.482,0.00,0.00,-0.01
4.492,-0.00,0.00,-0.01
4.502,-0.00,0.00,-0.01
4.512,-0.00,0.00,-0.01
4.522,-0.00,0.00,-0.01
4.532,-0.00,0.00,-0.01
4.542,-0.00,0.01,-0.01
4.552,-0.00,0.00,-0.01
4.562,-0.01,0.00,-0.00
4.572,-0.01,0.00,-0.00
4.582,-0.01,0.00,-0.00
4.592,-0.01,0.00,-0.00
4.602,-0.01,0.00,-0.00
4.612,-0.01,0.00,-0.00
4.622,-0.00,0.00,-0.00
4.632,-0.00,0.00,-0.00
4.642,-0.00,0.00,-0.00
4.652,-0.00,0.00,-0.00
4.662,0.00,0.00,-0.00
4.672,0.00,0.00,-0.00
4.682,0.00,0.00,-0.00
4.692,0.00,0.01,-0.00
4.702,0.00,0.00,-0.00
4.712,-0.00,0.00,-0.00
4.722,0.00,0.00,-0.00
4.732,0.00,0.00,-0.00
4.742,0.00,0.00,-0.00
4.752,0.00,0.00,-0.00
4.762,0.00,0.00,-0.00
4.772,0.00,0.00,-0.00
4.782,0.00,0.00,-0.00
4.792,0.01,0.00,-0.00
4.802,0.00,0.00,-0.00
4.812,0.00,0.00,-0.00
4.822,0.00,0.00,-0.00
4.831,-0.00,0.00,-0.00
4.841,-0.00,0.00,-0.00
4.851,-0.00,0.00,-0.00
4.861,-0.00,0.00,-0.00
4.871,-0.00,0.00,-0.00
4.881,-0.00,0.00,-0.00
4.891,-0.00,0.00,-0.00
4.901,-0.00,0.00,-0.00
4.911,-0.00,0.00,-0.00
4.921,-0.00,0.00,-0.00
4.931,-0.00,0.00,-0.00
4.941,-0.00,0.00,-0.00
4.951,-0.00,0.00,-0.00
4.961,-0.00,0.00,-0.00
4.971,0.00,0.00,-0.00
4.981,-0.00,0.00,-0.00
4.991,-0.00,0.00,-0.00
5.001,-0.00,0.00,-0.00
5.011,-0.00,0.00,-0.00
5.021,-0.00,0.00,-0.00
5.031,0.00,0.00,-0.00
5.041,0.00,0.00,-0.00
5.051,0.00,-0.00,-0.00
5.061,0.00,0.00,-0.00
5.071,0.00,0.00,-0.00
5.081,0.01,0.00,-0.00
5.091,0.01,0.01,0.00
5.101,0.01,0.01,-0.00
5.111,0.00,0.00,-0.00
5.121,-0.00,0.00,-0.01
5.131,-0.01,0.00,-0.00
5.141,-0.00,0.00,-0.01
5.151,-0.00,0.00,-0.00
5.161,-0.00,0.00,-0.00
5.171,-0.00,-0.00,-0.01
5.181,-0.00,-0.00,-0.01
5.191,-0.00,0.00,-0.00
5.201,-0.01,0.00,-0.00
5.211,-0.01,0.00,0.00
5.221,-0.01,0.00,0.00
5.231,-0.02,0.00,0.01
5.241,-0.02,0.00,0.01
5.251,-0.01,0.00,0.00
5.261,-0.02,0.00,-0.00
5.271,-0.02,0.00,-0.00
5.281,-0.01,0.00,-0.00
5.291,-0.01,0.01,-0.00
5.301,-0.00,0.01,-0.00
5.310,0.00,0.01,-0.00
5.320,0.00,0.01,-0.00
5.331,0.01,0.01,-0.00
5.340,0.01,0.01,-0.00
